scope,source_dataset,target_dataset,category,direction,source_label,target_label,loss_mode,attack_train_fraction,attack_train_image_count,evaluation_attacked_image_count,noise_file,noise_tensor_key,sample_ids_key,alignment_rule,artifact_sha256,protocol_split_sha256,image_size,epsilon,step_size,optimization_steps,effective_batch_size,configured_micro_batch_size,application_order
per_image,mvtec,mvtec,bottle,abnormal_to_normal,1,0,combined,0.0,0,32,noises/mvtec/perturbations/per_image__abnormal_to_normal__combined/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,0586bf1db2eb24f413e390da6aa402018f88ee34cca550b5f15da8a3c6f9565f,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,bottle,abnormal_to_normal,1,0,global,0.0,0,32,noises/mvtec/perturbations/per_image__abnormal_to_normal__global/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,afb64599af33db9d978711878a62393a3f174ce1b14fa7567245540ff7d0969d,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,bottle,abnormal_to_normal,1,0,local,0.0,0,32,noises/mvtec/perturbations/per_image__abnormal_to_normal__local/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,d082bbbb6f0b2551dd658945beee88a68363dfdfb8817609c61b2a73d52a8963,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,bottle,normal_to_abnormal,0,1,combined,0.0,0,10,noises/mvtec/perturbations/per_image__normal_to_abnormal__combined/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,90a0cb32a8eaee46ce8551b583ab23fe01efeaf8f4d3349f4b792108beb52f45,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,bottle,normal_to_abnormal,0,1,global,0.0,0,10,noises/mvtec/perturbations/per_image__normal_to_abnormal__global/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,7474fd5b8cbcac46dd800483726fd477f62a43af5497ae879b8dfbab01cf1c3c,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,bottle,normal_to_abnormal,0,1,local,0.0,0,10,noises/mvtec/perturbations/per_image__normal_to_abnormal__local/bottle.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,37ed7e418938e64e1e4a78d176221c7343bbc608b75561c2e684d013af67acb0,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,cable,abnormal_to_normal,1,0,combined,0.0,0,46,noises/mvtec/perturbations/per_image__abnormal_to_normal__combined/cable.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,87d8d95aa777d23588ff4ea153849de4bfddc4d982ea64f0c8ffadd8eed15d00,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,cable,abnormal_to_normal,1,0,global,0.0,0,46,noises/mvtec/perturbations/per_image__abnormal_to_normal__global/cable.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,c78914795f122f1eab809934a4d7f0152465c5f8e40a590b8578fcd428922887,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,cable,abnormal_to_normal,1,0,local,0.0,0,46,noises/mvtec/perturbations/per_image__abnormal_to_normal__local/cable.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,b637d6aa4c8a573db694d2f7c18573a5a5cd309945cf055ccd49df43547a7e18,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
per_image,mvtec,mvtec,cable,normal_to_abnormal,0,1,combined,0.0,0,29,noises/mvtec/perturbations/per_image__normal_to_abnormal__combined/cable.pt,deltas,sample_ids,sample_ids[i] maps exactly to deltas[i]; never reuse on another image,9e71207a9970717d55b872bf7d415207a16b6e503c70d755c78dfd46a508b1ec,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,518,0.03137254901960784,0.00784313725490196,10,2,2,"load aligned RGB [0,1] -> resize 518x518 -> clamp(clean + deltas[i],0,1) -> target model default preprocessing"
